Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,MN,2014,"11        ",Female,16,Right-Handed,660,23,147,1,Car,"3 ",.369,41,Soccer,600,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,MN,2018,"9         ",Female,14,Right-Handed,170,,,1.5,Walk,3,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,MN,2014,"11        ",Male,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,MN,2023,"10        ",Male,15,Left-Handed,177,26,22,1,Car,15,0.354,32,"Football (American)",100,100,100,100,100,100,26,"Same length",83,80,"Index finger",July,Spring,No,No,Pizza/Pasta,Water,"Physical education",4,12,3,"Yes - broadband connection","Internet chat or instant messaging",10,50,10,15,5,20,5,15,15,15,50,15,15,10,Some,"Some college","Rap/Hip hop","Freeze time",Happy,Relative,Health
USA,MN,2021,"5         ",Male,11,Left-Handed,154,23,154,1,Car,7,0.082,59,Baseball/Softball,700,850,650,950,1000,1000,25,"Left foot",70,70,"Same length",October,Summer,Yes,No,Pizza/Pasta,"Soft drink (non-caffeinated)","Physical education",8,9,4,"Yes - other","Text messaging",100,200,15,0,0,9,17,10,1,1,1,2,1,5,"Very little","Undergraduate degree",,Invisibility,Rich,Relative,"Education/Youth development"
USA,MN,2023,"10        ",Male,16,Right-Handed,190,32,190,1,Car,8,0.5,44,Skateboarding/Rollerblading,800,600,700,900,800,900,32,"Same length",90,80,"Index finger",February,Summer,No,No,"No favorite",Water,Geography,8,10,4,"Yes - other","In person",5,8,1,1,1,4,5,2,2,1,10,18,0,10,Some,"Some college",Other,Fly,Healthy,Relative,"International aid"
USA,MN,2018,"9         ",Male,14,Right-Handed,167.6,24,,1,Walk,5,.41,62,Other,800,800,800,400,0,1000,25,"Same length",8,7,"Ring finger",February,Winter,No,No,Meat,Other,"Social studies",6,6,6,"Yes - broadband connection","Cell phone",8,4,2,1,0,1,2,0,3,2,4,6,24,2,,,"Rap/Hip hop",Telepathy,Happy,Other,"Education/Youth development"
USA,MN,2017,"9         ",Male,14,Right-Handed,,,,1,Bus,"25 ",.312,32,"Football (American)",50,85,10,85,95,100,,,,,"Ring finger",January,Winter,No,No,Salads,Water,Geography,5.5,8,4,"Yes - broadband connection",Other,7,12,25,2,12,15,28,5,.5,1,28,28,0,6,"Very little","Graduate degree","Rap/Hip hop",Telepathy,Healthy,Relative,"Arts, culture, sports"
USA,MN,2022,"10        ",Female,16,Right-Handed,162,26.4,160,1,Car,18,0.324,38,Tennis,727,615,353,353,86,374,25.8,"Right foot",88.9,101.6,"Ring finger",April,Summer,Yes,No,Fruit,Water,"Mathematics and statistics",10,9,4,"Yes - other","Cell phone",26,15,22,3,20,10,16,0,14,4,15,10,0,7,Some,"Graduate degree",Pop,Fly,Happy,Relative,Health
USA,MN,2018,"9         ",Male,14,Right-Handed,186,28.3,,,Bus,8,5,8,Basketball,60,60,65,89,34,56,28.6,,,,"Same length",June,Summer,Yes,No,Other,Water,"Physical education",8,6,4,"Yes - broadband connection","Text messaging",4,8,3,1,2,5,2,2,2,1,3,5,,6,Some,"Graduate degree","Rap/Hip hop","Super strength",Rich,"Sports person","Education/Youth development"
USA,MN,2018,"9         ",Female,14,Right-Handed,160.0,21.6,,1,Walk,1,0.638,48,"Hockey (Field)",80,20,1000,1000,0,50,21.6,"Same length",55,55,"Same length",October,Fall,Yes,No,"No favorite",Juice,English,6,9,3,"Yes - broadband connection","Internet chat or instant messaging",10000,10000,6,1,2,5,2,0,24,24,24,10,5,1,"A lot","Graduate degree","Rap/Hip hop","Freeze time",Happy,Relative,Health
USA,MN,2015,"12        ",Female,17,Ambidextrous,163,26,166,3,Bus,20,0.333,48,Athletics,1000,1000,900,1000,900,1000,26,"Same length",16,18,"Ring finger",May,Spring,No,Yes,"Rice/Noodle dishes",Water,"Physical education",5,7,7,"Yes - other","Myspace, Facebook, other social networking sites, or blog",4,4,0,7,5,4,3,0,168,168,168,0,0,28,"Very little","Some college",Gospel,Invisibility,Happy,Friend,Health
USA,MN,2018,"9         ",Male,16,Ambidextrous,6,10.5,188,1,Bus,7,.398,55,Basketball,0,0,0,0,0,1000,10.5,"Right foot",9.5,8.7,"Index finger",August,Summer,Yes,No,Pizza/Pasta,"Soft drink (caffeinated)",English,7,3,5,"Yes - broadband connection","Internet chat or instant messaging",5,5,0,0,0,14,0,0,13,2,8,6,0,15,None,"Undergraduate degree","Rap/Hip hop","Freeze time",Rich,"Business person","International aid"
USA,MN,2014,"11        ",Female,16,Right-Handed,660,23,147,1,Car,"3 ",.369,41,Soccer,600,600,400,500,200,300,23,"Same length",7.1,7.9,"Ring finger",April,Fall,Yes,No,"No favorite",Water,Other,7,10,3,"Yes - broadband connection","Text messaging",150,151,10,.5,15,1,20,4,2,10,1,3,0,4,"A lot","Graduate degree",Other,"Freeze time",Happy,Friend,Health
USA,MN,2016,"11        ",Male,16,Right-Handed,67,28,163,1,Car,45,0.352,55,Baseball/Softball,455,701,658,818,909,1000,28,"Same length",80,82,"Ring finger",June,Spring,No,No,Meat,Water,Languages,7,11,4,"Yes - broadband connection",,12,34,25,1,8,4,14,3,2,2,15,5,0,1,Some,"Graduate degree","Rap/Hip hop",Fly,Happy,"Doctor or nurse","Wildlife, animals"
USA,MN,2015,"12        ",Male,18,Right-Handed,5.6,1.2,6.0,2,Bus,10,5,6,Soccer,1000,1000,1000,1000,0,0,,,1.2,1,"Ring finger",September,Fall,No,No,Salads,Milk,History,3,3,6,"Yes - dial-up connection","Text messaging",65,59,1,3,2,9,0,5,10,5,12,0,5,0,Some,"Graduate degree",Pop,"Freeze time",Happy,Other,Health
USA,MN,2020,"9         ",Female,14,Right-Handed,5'3,110cm,idk,1,Bus,1H3mi,0.386,33sec,Basketball,1000,166,52,189,0,500,110cm,"Same length",idk,idk,"Same length",April,Spring,Yes,No,Fruit,,English,10hrs,4hrs,7,"Yes - other","Text messaging",10,10,0,alot,6,5,alot,0,3,idk,0,"48 ",0,5,Some,"Graduate degree","Rap/Hip hop",Telepathy,Happy,Relative,Health
USA,MN,2023,"12        ",Male,18,Right-Handed,182,26,179,2,Car,15,.297,35,Soccer,369,369,599,604,765,781,26,"Same length",100,110,"Ring finger",December,Summer,No,No,Poultry,Water,"Computers and technology",7,12,5,"Yes - broadband connection","Text messaging",5,6,45,2,5,10,1,10,5,1,1,1,10,1,"Very little","Undergraduate degree",Other,"Freeze time",Famous,"Musician or singer",Religious
USA,MN,2019,"11        ",Female,17,Right-Handed,"5,5",27in,57in,3,Bus,50min,1.008,49,Basketball,1000,1000,1000,500,500,1000,27in,"Same length",5mm,7mm,"Ring finger",September,Fall,No,No,"No favorite",Water,Other,5-6,10-12,8,"Yes - other","Text messaging",2000,3900,5,40min,1hr,24hr,2hr,10min,idk,none,0,0hr,2hr,"7hr ","A lot",Other,"Rap/Hip hop","Freeze time",Happy,"Religious figure","International aid"
USA,MN,2014,"7         ",Male,13,Right-Handed,143,126,145,2,Walk,15,0.654,41,Soccer,701,1000,861,471,668,1000,125,"Same length",85,95,"Ring finger",April,Summer,No,No,Fruit,"Sports drink","Physical education",10,19,6,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",45,105,1,1,58,1,57,20,89,56,40,2,34,87,"A lot","High school",Other,Fly,Famous,"Sports person","Education/Youth development"
USA,MN,2015,"12        ",Male,15,Right-Handed,174,34,168,1,Car,10,0.139,58,Other,0,5,400,200,2,500,34,"Same length",6,7,"Ring finger",April,Fall,No,No,Meat,Water,Other,7,9,4,"Yes - broadband connection",Other,30,30,7,1,4,1,6,0,2,4,0,1,5,4,Some,"Graduate degree",Country,Invisibility,Happy,Friend,"Wildlife, animals"
USA,MN,2014,"11        ",Female,15,Right-Handed,170,22,166,1,Car,8,.393,50,Baseball/Softball,1000,900,850,900,100,100,22,"Right foot",80,75,"Index finger",December,Spring,No,No,Poultry,Water,"Mathematics and statistics",7,11,4,"Yes - broadband connection","Text messaging",17,23,4,0,6,12,7,0,0,5,8,8,0,1,"A lot","Graduate degree",Pop,Telepathy,Happy,Relative,Health
USA,MN,2014,"11        ",Female,16,Right-Handed,157,17,156,1,Car,5,.336,32,Other,100,100,100,100,600,1000,18,"Left foot",100,600,"Ring finger",June,Summer,Yes,No,Pizza/Pasta,"Energy drink","Mathematics and statistics",5,9,2,"Yes - other","Text messaging",100,110,22,10,8,7,3,1,15,15,10,.5,20,6,Some,"Graduate degree",Country,Telepathy,Happy,Relative,Health
USA,MN,2016,"11        ",Male,15,Right-Handed,165,25,166,1,Walk,20,.346,60,Other,900,800,650,850,700,700,24,"Right foot",100,100,"Same length",April,Fall,Yes,No,Fruit,Water,History,7,11,4,"Yes - broadband connection","Text messaging",10,15,10,0,25,5,2,0,1,2,10,10,0,2,"Very little","Graduate degree","Rock and roll",Fly,Happy,Teacher,Health
USA,MN,2020,"9         ",Female,15,Right-Handed,158,20,154,2,Walk,15,0.253,31,"Martial Arts",1000,1000,980,890,430,860,19,"Right foot",69,75,"Ring finger",March,Winter,Yes,Yes,"Rice/Noodle dishes",Tea,History,6,,,,,,,,,,,,,,,,,,,,,,,,,
USA,MN,2016,"11        ",Female,17,Right-Handed,186,29,38.5,1,Car,45,.337,40,Other,500,500,500,500,500,500,29,"Same length",40,38,"Index finger",May,Spring,Yes,No,Desserts,Water,Art,6,8,4,"Yes - broadband connection","Text messaging",200,200,10,1,8,2,16,1,4,5,10,6,0,3,"A lot","Graduate degree","Rap/Hip hop",Fly,Happy,"Sports person","Wildlife, animals"
USA,MN,2023,"12        ",Male,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,MN,2018,"12        ",Male,17,Right-Handed,167.6,28.3,160,2,Car,"3 ",61.1,48,"Football (American)",40,50,20,50,30,90,28.3,"Same length",7,7.5,"Ring finger",December,Winter,No,No,"Rice/Noodle dishes","Sports drink",History,8,10,5,"Yes - broadband connection","Internet chat or instant messaging",10,10,5,.5,2,7,2,7,9,3,4,1,0,1,None,"Graduate degree","Rap/Hip hop","Super strength",Famous,"Musician or singer",Health
USA,MN,2014,"6         ",Male,12,Right-Handed,148.5,25,153.5,2,Walk,10,0.491,68,None,1000,1000,1000,1000,1000,1000,22.5,"Right foot",84,90,"Ring finger",February,Winter,Yes,No,Pizza/Pasta,"Sports drink","Social studies",8,16,5,"Yes - broadband connection",E-mail,0,0,0,0,11,2,0,100,15,0,100,0,50,0,"Very little","Graduate degree","Heavy metal",Telepathy,Rich,"Musician or singer",Environment
USA,MN,2016,"12        ",Male,17,Right-Handed,162,2.4,166,1,Car,3,0.718,37,Tennis,900,1000,1000,1000,1000,1000,2.4,"Same length",9.25,9.75,"Ring finger",February,Spring,No,No,Meat,Water,"Physical education",7,7,6,"Yes - broadband connection","Cell phone",50,50,10,20,18,10,10,0,24,24,35,2,19,7,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Rich,Other,Health
USA,MN,2016,"9         ",Male,15,Right-Handed,164,24,164,2,Car,15,0.384,42,"Hockey (Ice)",625,690,652,684,652,626,24,"Same length",80,65,"Index finger",March,Fall,No,No,Seafood,Other,History,8,6,,"Yes - other","Text messaging",19,22,12,40,24,4,14,2,10,8,36,8,3,3,Some,"Graduate degree",Country,"Freeze time",Rich,Other,"Wildlife, animals"
USA,MN,2016,"11        ",Male,14,Left-Handed,170,24,169,1,Bus,40,.408,37,Tennis,455,326,112,464,609,904,24.5,"Left foot",7.8,7.6,"Index finger",October,Fall,Yes,No,Meat,Milk,"Mathematics and statistics",6.5,10,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",30,50,2,1,9,10,12,1,18,3,36,13,0,2,"Very little","Undergraduate degree",Pop,Fly,Famous,Relative,"International aid"
USA,MN,2019,"11        ",Male,16,Right-Handed,111,7,100,1,Boat,1000,.079,47,Skateboarding/Rollerblading,0,1,0,0,0,0,6,"Left foot",90,5,"Ring finger",May,Summer,No,No,"No favorite",Milk,"Mathematics and statistics",700,900,1,"No internet connection","In person",0,0,4,0,0,,,,,,,,,,,,,,,,
USA,MN,2017,"12        ",Male,17,Right-Handed,186,26,184,3,Car,30,.644,46,Soccer,700,750,200,400,900,900,25,"Right foot",98,110,"Ring finger",February,Winter,No,No,"No favorite",Coffee,Other,7,8,5,"Yes - other","In person",13,25,6,1,15,5,20,2,1,1,10,2,25,10,None,"Graduate degree",Gospel,"Freeze time",Rich,Teacher,"Education/Youth development"
USA,MN,2014,"11        ",Male,16,Right-Handed,175,29,174,1,Bus,45,.579,34,Other,500,500,500,150,100,100,30,"Left foot",7.5,7.8,"Ring finger",October,Winter,No,No,Meat,Milk,Other,5.5,6.5,6,"Yes - other","Text messaging",45,35,60,2,4,6,7,1,1,2,1,20,0,3,Some,"Graduate degree","Rock and roll",Telepathy,Happy,Relative,Health
USA,MN,2022,"10        ",Female,15,Right-Handed,170,25,170,4,Car,15,0.518,32,Other,663,594,267,353,845,914,25,"Same length",30,25,"Index finger",November,Summer,Yes,No,Pizza/Pasta,Water,"Mathematics and statistics",7,10,4,"Yes - broadband connection","Text messaging",20,70,5,1,10,6,6,0,2,1,1,3,0,0,"A lot","Graduate degree",Pop,Fly,Happy,Friend,Health
USA,MN,2016,"9         ",Male,15,Right-Handed,173,25,173,1,Car,15,.217,24,Soccer,1000,471,658,802,936,1000,25,"Same length",80,70,"Index finger",October,Fall,Yes,No,Meat,Water,"Mathematics and statistics",9,11,4,"Yes - broadband connection","Text messaging",6,7,15,0,18,24,27,0,15,1,79,0,0,12,Some,"Graduate degree",Pop,"Freeze time",Happy,Relative,"Education/Youth development"
USA,MN,2016,"12        ",Female,17,Right-Handed,163.5,22,171,2,Bus,10,0.808,39,Dancing,545,775,1000,658,1000,1000,21.5,"Right foot",80,100,"Ring finger",April,Summer,Yes,No,Meat,Water,Science,6,12,4,"Yes - broadband connection","Text messaging",20,20,2,1,5,4,0,0,10,5,4,10,0,12,"A lot","Undergraduate degree","Rap/Hip hop",Fly,Healthy,Relative,"Wildlife, animals"
USA,MN,2019,"11        ",Female,16,Right-Handed,152.4,24,152.4,1,Car,15,.373,52,Cycling,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,MN,2023,"10        ",Male,16,Right-Handed,180,29,180,1,Car,15,0.462,54,Tennis,1000,500,700,700,500,600,28,"Right foot",8,8,"Same length",November,Spring,No,No,Breads/Sandwiches,Water,"Social studies",8,10,4,"Yes - broadband connection","Internet chat or instant messaging",40,45,10,1,5,12,13,0,3,4,8,8,7,1,Some,"Graduate degree","Rap/Hip hop",Fly,Happy,Relative,"Education/Youth development"
USA,MN,2023,"10        ",Female,16,Right-Handed,166,26,170,1,Walk,2,.365,56,Walking/Hiking,80,75,45,70,60,80,25,"Right foot",,,,October,Fall,No,No,Desserts,Milk,Music,6,10,5,"Yes - broadband connection","Internet chat or instant messaging",10,20,2,3,5,1,1,30,10,3,50,0,20,3,"A lot",Other,Jazz,"Freeze time",Happy,Relative,"International aid"
USA,MN,2021,"9         ",Female,14,Right-Handed,5.3,9,13,"1 1/2",Car,5,.61,38,Baseball/Softball,,,,,,,9,"Same length",3,2,"Index finger",June,Summer,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,MN,2014,"11        ",Male,16,Right-Handed,188,30,194,2,Car,12,.388,35,Soccer,200,400,100,350,500,800,30,"Same length",80,82,"Ring finger",March,Summer,Yes,No,Pizza/Pasta,Water,"Social studies",5.5,10,4,"Yes - broadband connection","Internet chat or instant messaging",0,0,5,0,4,10,4,21,0,0,54,10,0,5,"Very little","Graduate degree",Other,Fly,Healthy,"Community leader or elder","International aid"
USA,MN,2015,"12        ",Male,16.5,Right-Handed,184,11,170,1.5,Car,11,.458,44,"Football (American)",100,200,300,100,100,500,11,"Same length",6,6,"Same length",January,Winter,Yes,No,Meat,Water,History,8,9,5,"Yes - other","Text messaging",650,700,24,1,4,8,35,3,2,2,1,1,10,0,"A lot","Graduate degree","Rap/Hip hop",Fly,Happy,Relative,"Arts, culture, sports"
USA,MN,2018,"9         ",Female,14,Right-Handed,5,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,MN,2018,"9         ",Male,14,Right-Handed,5,11," 170",2,Walk,2,0.410,"38 ",Soccer,182,118,1000,433,107,32,11,"Same length",110,110,"Same length",March,Summer,No,No,"Rice/Noodle dishes",Other,Science,7,5,7,"Yes - broadband connection","Text messaging",11,12,9,1,3,9,40,2,1,1,2,0,50,3,"Very little","Some college","Rap/Hip hop","Freeze time",Healthy,Relative,Health
USA,MN,2019,"12        ",Female,16,Right-Handed,153,20,169,1,Car,2,0.421,36,Walking/Hiking,800,800,900,700,500,690,20,"Right foot",63,65,"Index finger",May,Summer,No,No,Pizza/Pasta,Water,"Mathematics and statistics",7,10,2,"Yes - other","Myspace, Facebook, other social networking sites, or blog",17,24,14,2,23,5,14,0,20,1,48,6,4,2,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Happy,Relative,Health
USA,MN,2014,"6         ",Female,12,Right-Handed,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,MN,2019,"12        ",Male,17,Left-Handed,185.4,30.48,184.5,1,,25,0.185,26,Athletics,299,578,0,0,1000,1000,29.21,"Right foot","80 mm","90 mm","Ring finger",April,Summer,Yes,No,Meat,Water,"Mathematics and statistics","6 hrs","2 hrs",5,"Yes - broadband connection","Internet chat or instant messaging",0,?????,0,0,0.2,0,0,152,5,100,152,69,16,8,None,"High school",Other,Telepathy,Rich,Relative,"Arts, culture, sports"
USA,MN,2014,"7         ",Male,13,Right-Handed,149,23,154.5,2,Walk,30,0.47,59,Soccer,1000,914,1000,818,294,1000,23.5,"Left foot",90,90,"Same length",September,Summer,No,No,Fruit,Juice,Art,9,10,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",50,52,15,10,2,5,10,15,15,5,10,6,0,11,"Very little","Graduate degree",Other,"Freeze time",Rich,Teacher,"Wildlife, animals"
USA,MN,2023,"10        ",Male,16,Right-Handed,170,,170,1,Car,7,0.457,37,Soccer,5,3,2,4,6,1,,"Same length",,,"Same length",April,Spring,No,No,Other,Water,Geography,8,8.5,5,"Yes - dial-up connection","In person",8,8,8,2,3,5,4,4,10,2,10,1,8,3,Some,"Some college",Pop,Invisibility,Happy,Relative,"Education/Youth development"
USA,MN,2016,"12        ",Female,17,Right-Handed,165,22,160,1,Car,7,0.932,45,"Hockey (Ice)",,,,,,,23,"Left foot",80,80,"Same length",January,Winter,No,No,Meat,Water,,6,10,4,"Yes - other","Text messaging",50,60,10,2,10,3,15,0,5,10,6,10,0,1,"A lot","Graduate degree",Pop,Invisibility,Happy,Relative,"Wildlife, animals"
USA,MN,2016,"12        ",Female,18,Right-Handed,178,9.5,172,3,Car,3,4,5,Bowling,800,600,900,1000,200,500,9.7,"Left foot",150,145,"Index finger",September,Fall,No,No,Breads/Sandwiches,Water,Music,6,9,4,"Yes - broadband connection","Text messaging",50,50,5,6,10,5,2,0,20,24,20,2,0,2,"A lot","Graduate degree","Rhythm and blues (R&B)","Freeze time",Rich,Relative,"International aid"
USA,MN,2014,"11        ",Female,15,Ambidextrous,154.9,21.59,150,1,Bus,30,0.384,49,Baseball/Softball,1000,500,100,500,500,700,20.59,"Right foot",65,64,"Index finger",February,Summer,No,Yes,"Rice/Noodle dishes",Water,History,3,9,7,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",35,50,12,0,3,0,0,20,20,10,20,2,0,5,"A lot","High school","Rock and roll",Invisibility,Happy,Relative,"International aid"
USA,MN,2013,"12        ",Male,18,Right-Handed,191,25,191,1,Bus,60,15,20,"Football (American)",1000,1000,1000,1000,1000,1000,290,"Left foot",90,100,"Ring finger",November,Summer,No,No,Poultry,Juice,"Computers and technology",10,0,5,"Yes - other","Cell phone",700,500,24,2,2,2,2,10,10,24,10,5,0,24,None,"High school","Rap/Hip hop",Invisibility,Rich,Relative,Health
USA,MN,2018,"12        ",Male,17,Ambidextrous,175,25,172,1,Car,40,.421,55,Golf,95,500,350,100,1000,1000,25,"Same length",80,83,"Ring finger",January,Spring,Yes,No,Pizza/Pasta,Milk,History,7,9,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",6,7,7,0,4,7,13,13,12,1,10,3,10,2,"Very little","Graduate degree","Rock and roll","Freeze time",Rich,Relative,Religious
USA,MN,2023,"10        ",Female,15,Right-Handed,168,24,165,2,Car,15,0.673,39,Soccer,845,800,750,825,400,700,25,"Left foot",,,,August,Summer,No,No,"Rice/Noodle dishes",Water,Science,8,7,5,"Yes - broadband connection","In person",5,10,15,1,6,15,5,0,10,3,24,6,4,4,Some,"Graduate degree",Pop,Telepathy,Happy,"Community leader or elder","International aid"
USA,MN,2014,"11        ",Female,15,Right-Handed,157,23,157,1,Bus,10,.34,50,"Hockey (Ice)",800,600,400,400,100,100,23,"Same length",90,93,"Ring finger",March,Summer,Yes,No,Fruit,Water,"Mathematics and statistics",7,10,5,"Yes - other","Text messaging",80,100,10,1,2,15,17,0,3,10,4,1,3,2,"A lot","Graduate degree",Country,Telepathy,Happy,Friend,Health
