Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,WI,2016,"7         ",Female,13,Right-Handed,158,24,150,2,Bus,30,.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,WI,2017,"7         ",Male,12,Right-Handed,167,27,171,1,Bus,30,0.381,47,Baseball/Softball,1000,1000,500,200,600,1000,27,"Same length",9,8,"Ring finger",March,Spring,Yes,No,Soups,Milk,"Physical education",9,7,4,"Yes - dial-up connection","Internet chat or instant messaging",0,0,49,0,1,4,3,54,0,0,54,0,0,0,None,"Graduate degree",Other,Telepathy,Happy,Relative,Health
USA,WI,2021,"7         ",Female,12,Right-Handed,175,22,169,1,Car,7,,,Swimming,503,225,43,262,0,524,22,"Same length",7,6,"Index finger",May,Spring,No,No,"Rice/Noodle dishes",Other,"Mathematics and statistics",8,7,4,"Yes - other","Text messaging",15,20,11,3,2,5,9,0,50,5,8,4,0,0,Some,"Graduate degree",Pop,Invisibility,Happy,Other,Health
USA,WI,2017,"11        ",Male,17,Right-Handed,168,25,168,2,Car,5,.504,37,Athletics,5,5,48,21,5,5,25,"Same length",130,95,"Index finger",October,Winter,Yes,No,Meat,Water,Science,8,8,4,"Yes - broadband connection","In person",4,20,1,0,1,4,6,.5,.5,1,0,3,0,1,Some,"Graduate degree",Country,"Super strength",Healthy,Relative,Religious
USA,WI,2013,"8         ",Female,14,Right-Handed,170,23,164,1,Car,3,.25,41,Walking/Hiking,400,800,800,600,900,1000,24,"Same length",70,65,"Index finger",March,Fall,No,No,Fruit,Water,Science,5,3,4,"Yes - other","Text messaging",400,500,10,5,6,5,3,1,11,28,12,2,2,2,Some,"Graduate degree",Country,Telepathy,Happy,"Musician or singer",Health
USA,WI,2013,"8         ",Female,14,Right-Handed,160,21,160,2,Car,15,.282,44,Soccer,500,350,100,100,700,700,20,"Right foot",72,73,"Ring finger",September,Summer,No,No,"Rice/Noodle dishes","Soft drink (caffeinated)",English,6,10,4,"Yes - broadband connection","Text messaging",50,51,3,1,2,4,0,2,8,8,10,4,0,1,Some,"Some college",Pop,Invisibility,Happy,Relative,"Wildlife, animals"
USA,WI,2018,"12        ",Female,16,Right-Handed,163,26,252,1,Car,10,.371,27,Walking/Hiking,850,900,500,450,950,950,26,"Same length",82,87,"Ring finger",July,Fall,Yes,No,Pizza/Pasta,Water,"Social studies",6.5,9,4,"Yes - other","Internet chat or instant messaging",40,80,10,1,7,14,0,4,10,3,55,0,0,7,Some,"Undergraduate degree",Other,"Freeze time",Happy,Other,"Education/Youth development"
USA,WI,2016,"6         ",Male,12,Ambidextrous,154,,,1,Car,3,0.397,42,Soccer,663,209,781,112,196,529,,"Right foot",,,"Ring finger",October,Summer,Yes,No,Pizza/Pasta,Milk,Other,6,5,4,"Yes - other",Other,1,1,30,2,1,2,4,30,0,1,1,4,0,2,Some,"Graduate degree",Pop,"Freeze time",Happy,Politician,Other
USA,WI,2014,"12        ",Female,17,Right-Handed,152.4,25,150,1,Car,10,.429,44,Walking/Hiking,1000,1000,1000,1000,500,500,25,"Same length",60,65,"Ring finger",August,Winter,No,Yes,"No favorite",Water,History,6,6,9,"Yes - broadband connection","In person",79,91,10,0,12,20,0,0,0,1,10,5,0,5,Some,"Graduate degree",Other,"Freeze time",Happy,Relative,"International aid"
USA,WI,2022,"4         ",Female,10,Right-Handed,139,22,143,1,Walk,2,0.322,35,Soccer,877,712,666,789,435,222,22,"Same length",6,6,"Same length",October,Winter,No,No,"Rice/Noodle dishes",Water,English,9,7,4,"Yes - dial-up connection","Text messaging",1,0,50min,0,15min,2,30min,2,1,2min,2,50min,0,50min,Some,"Undergraduate degree",Pop,"Freeze time",Happy,Friend,"Arts, culture, sports"
USA,WI,2015,"7         ",Male,12,Right-Handed,158,26,164,1,Car,5,.3,43,"Football (American)",,1000,1000,1000,-1000,1000,24,"Right foot",70,65,"Index finger",March,Spring,No,No,Desserts,"Sports drink","Mathematics and statistics",9,9,13,"Yes - other","In person",0,0,5,0,"2 ",7,24,1,0,0,1,0,0,1,"Very little","Graduate degree",Pop,"Super strength",Rich,Relative,Health
USA,WI,2015,"12        ",Female,17,Right-Handed,163,24,168,3,Walk,26,.106,39,Dancing,348,460,390,599,684,471,24,"Same length",7.5,6.5,"Index finger",March,Fall,Yes,No,"No favorite",Water,Music,5,8,4,"Yes - broadband connection","Cell phone",50,60,2,50,14,5,10,26,60,100,100,60,0,5,Some,"Undergraduate degree","Rhythm and blues (R&B)",Fly,Happy,Relative,Health
USA,WI,2013,"8         ",Female,12,Right-Handed,163,"14 ",167,1,Bus,20,0.391,57,Dancing,400,509,768,657,389,1000,14,"Left foot",8,7,"Index finger",April,Summer,Yes,No,Fruit,Milk,"Physical education",8,10,4,"Yes - broadband connection","Text messaging",1,0,6,0.5,6,30,7,0.5,2,3,5,8,0,2,Some,"Graduate degree",Country,Invisibility,Healthy,"Sports person",Health
USA,WI,2022,"9         ",Female,15,Right-Handed,168,25,163,2,Walk,10,.411,40,Athletics,610,866,968,930,278,738,24,"Right foot",45,33,"Ring finger",May,Fall,No,No,Meat,Water,Languages,6,8,3,"Yes - broadband connection","In person",1,3,12,1,14,12,10,4,1,1,15,4,0,5,Some,"Undergraduate degree","Rap/Hip hop",Fly,Rich,"Musician or singer","Education/Youth development"
USA,WI,2016,"12        ",Female,17,Right-Handed,168,24,160,1,Car,20,.366,47,Gymnastics,500,400,300,200,800,1000,23,"Right foot",90,80,"Index finger",June,Fall,Yes,No,"Rice/Noodle dishes",Water,English,8,9,5,"Yes - broadband connection","Text messaging",20,25,10,1,5,5,12.5,0,8,5,20,20,6,5,Some,"Graduate degree","Rap/Hip hop",Fly,Happy,Relative,"Wildlife, animals"
USA,WI,2016,"7         ",Female,12,Right-Handed,155,23,154,1,Bus,60,0.482,43,Swimming,,,,,,,,"Same length",9,9,"Same length",January,Fall,No,No,Meat,Water,Art,6,5,4,"Yes - broadband connection","In person",1,2,2,0,3,6,5,7,7,0,7,7,0,3,Some,"Undergraduate degree","Rock and roll",Fly,Happy,Friend,"Arts, culture, sports"
USA,WI,2017,"12        ",Female,18,Right-Handed,160,,,1,Car,6,.37,37,Walking/Hiking,,,,,,,,,6.5,7,"Ring finger",October,Summer,No,No,Poultry,Juice,"Social studies",7,8,4,"Yes - broadband connection","Text messaging",75,100,,,,,,,,,,,,,Some,"Graduate degree","Rap/Hip hop",Telepathy,Healthy,Teacher,Health
USA,WI,2016,"7         ",Female,12,Right-Handed,156,22,162,1,Car,10,,,Swimming,100,200,200,100,0,0,24,,,,"Index finger",March,Fall,No,No,Fruit,Milk,English,9,8,3,"Yes - broadband connection","In person",0,0,0,0,1,3,2,1,0,0,1,1,4,2,Some,"Graduate degree",Country,Telepathy,,,
USA,WI,2017,"8         ",Female,14,Right-Handed,152,26,146,2,Car,20,,,Soccer,999,1000,1000,1000,1000,1000,28,"Left foot",7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,WI,2014,"9         ",Male,14,Right-Handed,12.93,27,168,2,Car,25,,,Soccer,,,,,,,26,"Right foot",100,100,"Same length",August,Winter,Yes,No,Other,Water,Art,7,10,4,"Yes - other","Text messaging",0,5,0,0,0,2,1,5,0,0,2,1,0,1,Some,"Graduate degree","Rap/Hip hop",Invisibility,Rich,Other,"Arts, culture, sports"
USA,WI,2013,"8         ",Female,14,Right-Handed,165,24,165,1,Bus,15,.331,54,Dancing,406,412,471,476,904,893,24,"Same length",90,80,"Index finger",July,Summer,No,No,"No favorite",Juice,Art,8,10,6,"Yes - broadband connection","Text messaging",50,50,9,1,2,15,9,0,10,2,2,24,0,0,Some,"Graduate degree",Pop,Telepathy,Happy,Other,"Wildlife, animals"
USA,WI,2018,"11        ",Male,16,Right-Handed,191,28,200,3,Car,5,.697,49,None,1000,950,1000,750,1000,1000,27,"Right foot",90,85,"Index finger",June,Summer,Yes,No,Pizza/Pasta,Water,History,5,8,2,"Yes - broadband connection","Text messaging",20,10,10,.01,3,1,4,15,5,6,20,.5,0,.5,"A lot","Graduate degree",Pop,Invisibility,Happy,Politician,"International aid"
USA,WI,2013,"12        ",Male,17,Right-Handed,178,28,181,2,Car,6,.299,50,"Football (American)",600,700,200,400,500,500,28,"Same length",85,82,"Index finger",December,Summer,Yes,No,Meat,Water,Science,6,8,3,"Yes - broadband connection","Text messaging",40,50,8,1,10,5,16,4,1,3,6,6,10,1,"A lot","Graduate degree","Punk rock","Super strength",Famous,Politician,Health
USA,WI,2015,"12        ",Female,17,Right-Handed,153,21,138,1,Car,15,0.363,30,Gymnastics,1000,1000,1000,1000,200,200,22,"Left foot",67,62,"Index finger",October,Fall,No,No,"Rice/Noodle dishes",Water,History,4,6,3,"Yes - other","Text messaging",20,25,1,0,10,5,15,0,2,1,8,1,16,3,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Healthy,Relative,"Education/Youth development"
USA,WI,2016,"7         ",Female,13,Right-Handed,161,23,161,2,Bus,20,.486,46,Tennis,663,802,663,674,37,305,23,"Left foot",11.5,8.2,"Index finger",September,Summer,No,No,"No favorite",Water,"Mathematics and statistics",8,7,6,"Yes - broadband connection","Text messaging",35,40,20,1,7,48,72,5,3,2,3,2,1,5,"A lot","Graduate degree",Pop,Invisibility,Happy,Relative,"Education/Youth development"
USA,WI,2018,"11        ",Female,16,Left-Handed,157.5,27,160,1,Car,15,0.516,44,None,1000,1000,1000,1000,0,1000,27,"Same length",30,27,"Ring finger",May,Fall,Yes,No,Other,Tea,Science,7,5,4,"Yes - other","Text messaging",50,50,140,100,50,40,0,0,140,100,140,20,20,10,"A lot","Graduate degree",Pop,Fly,Happy,"Musician or singer","International aid"
USA,WI,2013,"8         ",Male,13,Right-Handed,177,29,172,2,Bus,30,.437,52,"Football (American)",316,187,176,235,225,476,29,"Same length",80,85,"Ring finger",March,Summer,No,No,Poultry,Water,"Physical education",9.5,11,4,"Yes - broadband connection","Text messaging",0,1,4,0,5,10,12,5,1,1,1,3,1,2,Some,"Graduate degree",Techno/Electronic,"Freeze time",Healthy,Relative,Health
USA,WI,2016,"8         ",Male,13,Right-Handed,167,27,169,2,Car,5,0.335,50,Bowling,200,300,100,300,500,975,25,"Right foot",8,8,"Same length",July,Summer,Yes,No,Meat,,"Physical education",8,10,5,"Yes - other","Text messaging",3,3,8,1,1,10,6,11,9,10,12,12,1,11,Some,"Graduate degree","Rap/Hip hop","Freeze time",Healthy,Actor,Health
USA,WI,2021,"12        ",Male,18,Right-Handed,177.8,27,182,1,Car,"2 min",0.617,50,Golf,950,500,900,500,200,950,25,"Right foot",7.3,8.5,"Ring finger",August,Fall,No,No,"Rice/Noodle dishes",Water,English,8,9,4,"Yes - broadband connection","In person",30,30,25,1,7,10,2,10,5,1,1,5,12,2,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Happy,"Sports person","Wildlife, animals"
USA,WI,2013,"8         ",Male,14,Right-Handed,174,26,164,1,Bus,30,.25,49,Soccer,455,540,620,626,43,91,26,"Same length",17.5,17.5,"Same length",January,Spring,Yes,No,Meat,Milk,Other,10,8,4,"Yes - broadband connection","Text messaging",20,25,0,0,.5,1,4.5,0,.5,0,.5,2,5,.5,Some,Other,Country,Fly,Rich,Relative,Other
USA,WI,2014,"12        ",Female,17,Right-Handed,170,26,165,2,Car,17,.354,40,Walking/Hiking,950,700,700,800,950,600,26,"Same length",75,76,"Ring finger",March,Summer,Yes,No,Meat,Water,Art,6,6,4,"Yes - broadband connection","Cell phone",100,100,15,.5,4,4,4,1,5,10,10,.5,40,5,"A lot","Graduate degree",Other,"Freeze time",Happy,Relative,Environment
USA,WI,2013,"12        ",Male,17,Right-Handed,176,27,176,2,Car,8,.331,46,Baseball/Softball,561,267,139,230,412,765,28,"Left foot",90,80,"Index finger",August,Summer,No,No,"No favorite",Milk,"Physical education",7,8,5,"Yes - broadband connection","In person",10,10,5,0.3,10,3,10,0.5,4,2,10,10,0,1,Some,"Graduate degree",Pop,Fly,Happy,Relative,Religious
USA,WI,2016,"7         ",Male,12,Right-Handed,163,25,167,1,Bus,45,.399,51,Golf,947,775,1000,925,1000,1000,25,"Same length",90,100,"Ring finger",June,Summer,Yes,No,Pizza/Pasta,Milk,"Mathematics and statistics",9,4,4,"Yes - other","Text messaging",25,15,1,0,1,6,6,2,4,0,4,5,0,1,Some,"Graduate degree",Pop,Invisibility,Famous,"Sports person","Wildlife, animals"
USA,WI,2017,"6         ",Female,13,Right-Handed,169,9,27,1,Car,5,.71,75,Swimming,900,600,1000,900,1000,1000,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,WI,2013,"8         ",Male,12,Left-Handed,177,26,161,1,Walk,10,.197,22,Golf,50,50,50,50,50,51,26,"Same length",80,80,"Same length",September,Summer,Yes,No,Meat,Milk,"Physical education",10,12,4,"Yes - broadband connection","In person",0,2,20,1,3,20,14,1,2,1,4,8,1,8,,"Graduate degree","Rap/Hip hop","Super strength",Happy,"Sports person",Health
USA,WI,2016,"12        ",Female,17,Right-Handed,165,25,162,1,Car,7,0.341,42,Dancing,1000,556,503,1000,449,551,25,"Same length",7.30,7.30,"Same length",February,Fall,Yes,No,Pizza/Pasta,Water,"Mathematics and statistics",8,8,4,"Yes - broadband connection","Text messaging",385,326,8,4,3,2,2,5,10,10,7,1,4,2,None,"Undergraduate degree",Other,Telepathy,Healthy,Relative,"Education/Youth development"
USA,WI,2015,"12        ",Female,17,Right-Handed,170,23,160,1,Car,"5 ",.432,52,Dancing,200,400,100,50,700,900,23,"Same length",800,700,"Index finger",February,Spring,Yes,No,Pizza/Pasta,Water,English,7,9,3,"Yes - other","Text messaging",500,700,20,1,3,5,10,0,10,20,20,10,12,4,"A lot","Graduate degree",Pop,"Freeze time",Rich,Relative,"Wildlife, animals"
USA,WI,2019,"12        ",Male,17,Right-Handed,,178,178,2,Car,4,.06,54,"Football (American)",800,800,800,900,700,800,,,,,,,,,,,,,,7-8,4,"Yes - other","Text messaging",4,4.5,,,,,,,,,,,,,,"Graduate degree",Country,Telepathy,Happy,Relative,"International aid"
USA,WI,2018,"12        ",Female,17,Right-Handed,165,23,163,2,Car,10,0.375,35,Other,1000,1000,1000,1000,100,500,23,"Same length",60,66,"Ring finger",April,Fall,Yes,Yes,Desserts,Coffee,"Computers and technology",7,12,6,"Yes - other","Myspace, Facebook, other social networking sites, or blog",6,15,4,.5,6,2,6,0,10,3,24,2,30,1,"A lot",Other,"Rap/Hip hop",Fly,Rich,"Doctor or nurse",Health
USA,WI,2018,"11        ",Female,17,Right-Handed,169,,140,2,Car,4,0.586,36,Swimming,,,,,,,,,75,76,"Ring finger",October,Winter,No,No,Seafood,Coffee,English,5,10,5,"Yes - other","Text messaging",17,18,,,,,,,,,,,,,Some,"Graduate degree",,,,,
USA,WI,2017,"12        ",Female,17,Left-Handed,174,23,166,1,Car,10,0.595,51,Running/Jogging,300,400,500,500,500,800,24,"Left foot",8.5,7.5,"Index finger",February,Fall,No,No,Seafood,Water,"Mathematics and statistics",7,9,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",80,80,6,1,10,8,3,0,4,3,3,4,15,2,Some,"Graduate degree",Other,Telepathy,Happy,"Religious figure",Religious
USA,WI,2013,"8         ",Male,12,Right-Handed,169,27,69,1,Bus,4,.31,39,Cycling,800,700,600,800,600,700,27,"Same length",90,100,"Ring finger",October,Winter,Yes,No,Other,Milk,"Physical education",10,12,6,"Yes - other","In person",0,0,25,0,10,20,10,0,0,0,5,7,0,1,"A lot","Graduate degree",Other,Fly,Healthy,"Religious figure",Religious
